area_code_per_principal_codes_website,JACS_3.0_subject_area,principal_code,JACS_3.0_principal_subject,area_code_per_detailed_codes_website,area_per_detailed_codes_website,detailed_code,JACS_3.0_detailed_subject,flatJACS_3.0_detailed_subject
6,Physical sciences,F5,Astronomy,F,Physical Sciences,F521,Space science,Space science
6,Physical sciences,F5,Astronomy,F,Physical Sciences,F522,Planetary science,Planetary science
6,Physical sciences,F5,Astronomy,F,Physical Sciences,F530,Solar & solar terrestrial physics,Solar & solar terrestrial physics
6,Physical sciences,F5,Astronomy,F,Physical Sciences,F540,Astronomy observation,Astronomy observation
6,Physical sciences,F5,Astronomy,F,Physical Sciences,F550,Astronomy theory,Astronomy theory
6,Physical sciences,F5,Astronomy,F,Physical Sciences,F590,Astronomy not elsewhere classified,Astronomy not elsewhere classified
6,Physical sciences,F6,Geology,F,Physical Sciences,F600,Geology,Geology
6,Physical sciences,F6,Geology,F,Physical Sciences,F610,Applied geology,Applied geology
6,Physical sciences,F6,Geology,F,Physical Sciences,F611,Industrial geology,Industrial geology
6,Physical sciences,F6,Geology,F,Physical Sciences,F612,Engineering geology,Engineering geology
6,Physical sciences,F6,Geology,F,Physical Sciences,F620,Mining geology,Mining geology
6,Physical sciences,F6,Geology,F,Physical Sciences,F621,Exploration geology,Exploration geology
6,Physical sciences,F6,Geology,F,Physical Sciences,F630,Geotechnology,Geotechnology
6,Physical sciences,F6,Geology,F,Physical Sciences,F631,Marine geotechnology,Marine geotechnology
6,Physical sciences,F6,Geology,F,Physical Sciences,F640,Earth science,Earth science
6,Physical sciences,F6,Geology,F,Physical Sciences,F641,Palaeontology,Palaeontology
6,Physical sciences,F6,Geology,F,Physical Sciences,F642,Geoscience,Geoscience
6,Physical sciences,F6,Geology,F,Physical Sciences,F643,Quaternary studies,Quaternary studies
6,Physical sciences,F6,Geology,F,Physical Sciences,F644,Hydrogeology,Hydrogeology
6,Physical sciences,F6,Geology,F,Physical Sciences,F645,Mantle & core processes,Mantle & core processes
6,Physical sciences,F6,Geology,F,Physical Sciences,F646,Land-atmosphere interactions,Land-atmosphere interactions
6,Physical sciences,F6,Geology,F,Physical Sciences,F650,Geological oceanography,Geological oceanography
6,Physical sciences,F6,Geology,F,Physical Sciences,F660,Geophysics,Geophysics
6,Physical sciences,F6,Geology,F,Physical Sciences,F661,Exploration geophysics,Exploration geophysics
6,Physical sciences,F6,Geology,F,Physical Sciences,F670,Geochemistry,Geochemistry
6,Physical sciences,F6,Geology,F,Physical Sciences,F680,Geohazards,Geohazards
6,Physical sciences,F6,Geology,F,Physical Sciences,F681,Seismology & tectonics,Seismology & tectonics
6,Physical sciences,F6,Geology,F,Physical Sciences,F682,Vulcanology,Vulcanology
6,Physical sciences,F6,Geology,F,Physical Sciences,F690,Geology not elsewhere classified,Geology not elsewhere classified
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F700,Science of aquatic & terrestrial environments,Science of aquatic & terrestrial environments
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F710,Marine sciences,Marine sciences
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F720,Hydrography,Hydrography
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F730,Ocean sciences,Ocean sciences
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F731,Ocean circulation,Ocean circulation
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F732,Oceanographic survey & monitoring,Oceanographic survey & monitoring
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F733,Land-ocean interaction,Land-ocean interaction
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F734,Atmosphere-ocean interactions,Atmosphere-ocean interactions
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F750,Environmental sciences,Environmental sciences
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F751,Applied environmental sciences,Applied environmental sciences
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F752,Hydrology,Hydrology
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F753,Pollution control,Pollution control
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F754,Biogeochemical cycles,Biogeochemical cycles
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F755,Environmental informatics,Environmental informatics
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F756,Environmental physiology,Environmental physiology
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F760,Climatology,Climatology
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F761,Meteorology,Meteorology
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F762,Large-scale atmospheric dynamics & transport,Large-scale atmospheric dynamics & transport
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F763,Boundary-layer meteorology,Boundary-layer meteorology
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F764,Climate & climate change,Climate & climate change
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F765,Radiative processes & effects,Radiative processes & effects
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F770,Soil science,Soil science
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F780,Glaciology & cryospheric systems,Glaciology & cryospheric systems
6,Physical sciences,F7,Science of aquatic & terrestrial environments,F,Physical Sciences,F790,Science of aquatic & terrestrial environments not elsewhere classified,Science of aquatic & terrestrial environments not elsewhere classified
6,Physical sciences,F8,Physical geographical sciences,F,Physical Sciences,F800,Physical geographical sciences,Physical geographical sciences
6,Physical sciences,F8,Physical geographical sciences,F,Physical Sciences,F810,Environmental geography,Environmental geography
6,Physical sciences,F8,Physical geographical sciences,F,Physical Sciences,F811,Biogeography,Biogeography
6,Physical sciences,F8,Physical geographical sciences,F,Physical Sciences,F840,Physical geography,Physical geography
6,Physical sciences,F8,Physical geographical sciences,F,Physical Sciences,F841,Maritime geography,Maritime geography
6,Physical sciences,F8,Physical geographical sciences,F,Physical Sciences,F842,Geomorphology,Geomorphology
6,Physical sciences,F8,Physical geographical sciences,F,Physical Sciences,F843,Topography,Topography
6,Physical sciences,F8,Physical geographical sciences,F,Physical Sciences,F844,Cartography,Cartography
6,Physical sciences,F8,Physical geographical sciences,F,Physical Sciences,F845,Remote sensing,Remote sensing
6,Physical sciences,F8,Physical geographical sciences,F,Physical Sciences,F846,Geographical information systems,Geographical information systems
6,Physical sciences,F8,Physical geographical sciences,F,Physical Sciences,F890,Physical geographical sciences not elsewhere classified,Physical geographical sciences not elsewhere classified
6,Physical sciences,F9,Others in physical sciences,F,Physical Sciences,F900,Others in physical sciences,Others in physical sciences
6,Physical sciences,F9,Others in physical sciences,F,Physical Sciences,F990,Physical sciences not elsewhere classified,Physical sciences not elsewhere classified
7,Mathematical sciences,G1,Mathematics,G,Mathematical Sciences,G100,Mathematics,Mathematics
7,Mathematical sciences,G1,Mathematics,G,Mathematical Sciences,G110,Pure mathematics,Pure mathematics
7,Mathematical sciences,G1,Mathematics,G,Mathematical Sciences,G120,Applied mathematics,Applied mathematics
7,Mathematical sciences,G1,Mathematics,G,Mathematical Sciences,G121,Mechanics (mathematical),Mechanics (mathematical)
7,Mathematical sciences,G1,Mathematics,G,Mathematical Sciences,G130,Mathematical methods,Mathematical methods
7,Mathematical sciences,G1,Mathematics,G,Mathematical Sciences,G140,Numerical analysis,Numerical analysis
7,Mathematical sciences,G1,Mathematics,G,Mathematical Sciences,G150,Mathematical modelling,Mathematical modelling
7,Mathematical sciences,G1,Mathematics,G,Mathematical Sciences,G160,Engineering/industrial mathematics,Engineering/industrial mathematics
7,Mathematical sciences,G1,Mathematics,G,Mathematical Sciences,G170,Computational mathematics,Computational mathematics
7,Mathematical sciences,G1,Mathematics,G,Mathematical Sciences,G190,Mathematics not elsewhere classified,Mathematics not elsewhere classified
7,Mathematical sciences,G2,Operational research,G,Mathematical Sciences,G200,Operational research,Operational research
7,Mathematical sciences,G2,Operational research,G,Mathematical Sciences,G290,Operational research not elsewhere classified,Operational research not elsewhere classified
7,Mathematical sciences,G3,Statistics,G,Mathematical Sciences,G300,Statistics,Statistics
7,Mathematical sciences,G3,Statistics,G,Mathematical Sciences,G310,Applied statistics,Applied statistics
7,Mathematical sciences,G3,Statistics,G,Mathematical Sciences,G311,Medical statistics,Medical statistics
7,Mathematical sciences,G3,Statistics,G,Mathematical Sciences,G320,Probability,Probability
7,Mathematical sciences,G3,Statistics,G,Mathematical Sciences,G330,Stochastic processes,Stochastic processes
7,Mathematical sciences,G3,Statistics,G,Mathematical Sciences,G340,Statistical modelling,Statistical modelling
7,Mathematical sciences,G3,Statistics,G,Mathematical Sciences,G350,Mathematical statistics,Mathematical statistics
7,Mathematical sciences,G3,Statistics,G,Mathematical Sciences,G390,Statistics not elsewhere classified,Statistics not elsewhere classified
7,Mathematical sciences,G9,Others in mathematical sciences,G,Mathematical Sciences,G900,Others in mathematical sciences,Others in mathematical sciences
9,Engineering & technology,H0,Broadly-based programmes within engineering & technology,H,Engineering,H000,Engineering,Engineering
9,Engineering & technology,H1,General engineering,H,Engineering,H100,General engineering,General engineering
9,Engineering & technology,H1,General engineering,H,Engineering,H110,Integrated engineering,Integrated engineering
9,Engineering & technology,H1,General engineering,H,Engineering,H120,Safety engineering,Safety engineering
9,Engineering & technology,H1,General engineering,H,Engineering,H121,Fire safety engineering,Fire safety engineering
9,Engineering & technology,H1,General engineering,H,Engineering,H122,Water quality control,Water quality control
9,Engineering & technology,H1,General engineering,H,Engineering,H123,Public health engineering,Public health engineering
9,Engineering & technology,H1,General engineering,H,Engineering,H130,Computer-aided engineering,Computer-aided engineering
9,Engineering & technology,H1,General engineering,H,Engineering,H131,Automated engineering design,Automated engineering design
9,Engineering & technology,H1,General engineering,H,Engineering,H140,Mechanics,Mechanics
9,Engineering & technology,H1,General engineering,H,Engineering,H141,Fluid mechanics,Fluid mechanics
9,Engineering & technology,H1,General engineering,H,Engineering,H142,Solid mechanics,Solid mechanics
9,Engineering & technology,H1,General engineering,H,Engineering,H143,Structural mechanics,Structural mechanics
9,Engineering & technology,H1,General engineering,H,Engineering,H150,Engineering design,Engineering design
9,Engineering & technology,H1,General engineering,H,Engineering,H160,"Bioengineering, biomedical engineering & clinical engineering","Bioengineering, biomedical engineering & clinical engineering"
9,Engineering & technology,H1,General engineering,H,Engineering,H161,Biomaterials,Biomaterials
9,Engineering & technology,H1,General engineering,H,Engineering,H162,Biomechanics (including fluid & solid mechanics),Biomechanics (including fluid & solid mechanics)
9,Engineering & technology,H1,General engineering,H,Engineering,H163,Bioelectronics & bioelectricity,Bioelectronics & bioelectricity
9,Engineering & technology,H1,General engineering,H,Engineering,H164,Rehabilitation engineering,Rehabilitation engineering
9,Engineering & technology,H1,General engineering,H,Engineering,H165,Tissue engineering & regenerative medicine,Tissue engineering & regenerative medicine
9,Engineering & technology,H1,General engineering,H,Engineering,H166,Imaging,Imaging
9,Engineering & technology,H1,General engineering,H,Engineering,H167,Biosensors,Biosensors
9,Engineering & technology,H1,General engineering,H,Engineering,H168,Medical devices & instrumentation,Medical devices & instrumentation
9,Engineering & technology,H1,General engineering,H,Engineering,H169,Neural engineering,Neural engineering
9,Engineering & technology,H1,General engineering,H,Engineering,H190,General engineering not elsewhere classified,General engineering not elsewhere classified
9,Engineering & technology,H2,Civil engineering,H,Engineering,H200,Civil engineering,Civil engineering
9,Engineering & technology,H2,Civil engineering,H,Engineering,H210,Structural engineering,Structural engineering
9,Engineering & technology,H2,Civil engineering,H,Engineering,H220,Environmental engineering,Environmental engineering
9,Engineering & technology,H2,Civil engineering,H,Engineering,H221,Energy resources,Energy resources
9,Engineering & technology,H2,Civil engineering,H,Engineering,H222,Coastal decay,Coastal decay
9,Engineering & technology,H2,Civil engineering,H,Engineering,H223,Environmental impact assessment,Environmental impact assessment
9,Engineering & technology,H2,Civil engineering,H,Engineering,H230,Transport engineering,Transport engineering
9,Engineering & technology,H2,Civil engineering,H,Engineering,H231,Permanent way engineering,Permanent way engineering
9,Engineering & technology,H2,Civil engineering,H,Engineering,H232,Pavement engineering,Pavement engineering
9,Engineering & technology,H2,Civil engineering,H,Engineering,H240,Surveying science,Surveying science
9,Engineering & technology,H2,Civil engineering,H,Engineering,H241,General practice surveying,General practice surveying
9,Engineering & technology,H2,Civil engineering,H,Engineering,H242,Engineering surveying,Engineering surveying
9,Engineering & technology,H2,Civil engineering,H,Engineering,H250,Geotechnical engineering,Geotechnical engineering
9,Engineering & technology,H2,Civil engineering,H,Engineering,H290,Civil engineering not elsewhere classified,Civil engineering not elsewhere classified
9,Engineering & technology,H3,Mechanical engineering,H,Engineering,H300,Mechanical engineering,Mechanical engineering
9,Engineering & technology,H3,Mechanical engineering,H,Engineering,H310,Dynamics,Dynamics
9,Engineering & technology,H3,Mechanical engineering,H,Engineering,H311,Thermodynamics,Thermodynamics
9,Engineering & technology,H3,Mechanical engineering,H,Engineering,H320,Mechanisms & machines,Mechanisms & machines
9,Engineering & technology,H3,Mechanical engineering,H,Engineering,H321,Turbine technology,Turbine technology
9,Engineering & technology,H3,Mechanical engineering,H,Engineering,H330,Automotive engineering,Automotive engineering
9,Engineering & technology,H3,Mechanical engineering,H,Engineering,H331,Road vehicle engineering,Road vehicle engineering
9,Engineering & technology,H3,Mechanical engineering,H,Engineering,H332,Rail vehicle engineering,Rail vehicle engineering
9,Engineering & technology,H3,Mechanical engineering,H,Engineering,H333,Ship propulsion engineering,Ship propulsion engineering
9,Engineering & technology,H3,Mechanical engineering,H,Engineering,H340,Acoustics & vibration,Acoustics & vibration
9,Engineering & technology,H3,Mechanical engineering,H,Engineering,H341,Acoustics,Acoustics
9,Engineering & technology,H3,Mechanical engineering,H,Engineering,H342,Vibration,Vibration
9,Engineering & technology,H3,Mechanical engineering,H,Engineering,H350,Offshore engineering,Offshore engineering
9,Engineering & technology,H3,Mechanical engineering,H,Engineering,H360,Electromechanical engineering,Electromechanical engineering
9,Engineering & technology,H3,Mechanical engineering,H,Engineering,H390,Mechanical engineering not elsewhere classified,Mechanical engineering not elsewhere classified
9,Engineering & technology,H4,Aerospace engineering,H,Engineering,H400,Aerospace engineering,Aerospace engineering
9,Engineering & technology,H4,Aerospace engineering,H,Engineering,H410,Aeronautical engineering,Aeronautical engineering
9,Engineering & technology,H4,Aerospace engineering,H,Engineering,H411,Air passenger transport engineering,Air passenger transport engineering
9,Engineering & technology,H4,Aerospace engineering,H,Engineering,H412,Air freight transport engineering,Air freight transport engineering
9,Engineering & technology,H4,Aerospace engineering,H,Engineering,H413,Air combat engineering,Air combat engineering
9,Engineering & technology,H4,Aerospace engineering,H,Engineering,H420,Astronautical engineering,Astronautical engineering
9,Engineering & technology,H4,Aerospace engineering,H,Engineering,H430,Avionics,Avionics
9,Engineering & technology,H4,Aerospace engineering,H,Engineering,H440,Aerodynamics,Aerodynamics
9,Engineering & technology,H4,Aerospace engineering,H,Engineering,H441,Flight mechanics,Flight mechanics
9,Engineering & technology,H4,Aerospace engineering,H,Engineering,H450,Propulsion systems,Propulsion systems
9,Engineering & technology,H4,Aerospace engineering,H,Engineering,H460,Aviation studies,Aviation studies
9,Engineering & technology,H4,Aerospace engineering,H,Engineering,H490,Aerospace engineering not elsewhere classified,Aerospace engineering not elsewhere classified
9,Engineering & technology,H5,Naval architecture,H,Engineering,H500,Naval architecture,Naval architecture
9,Engineering & technology,H5,Naval architecture,H,Engineering,H510,Shipbuilding,Shipbuilding
9,Engineering & technology,H5,Naval architecture,H,Engineering,H511,Surface passenger ship building,Surface passenger ship building
9,Engineering & technology,H5,Naval architecture,H,Engineering,H512,Surface freight ship building,Surface freight ship building
9,Engineering & technology,H5,Naval architecture,H,Engineering,H513,Surface combat ship building,Surface combat ship building
9,Engineering & technology,H5,Naval architecture,H,Engineering,H514,Submarine building,Submarine building
9,Engineering & technology,H5,Naval architecture,H,Engineering,H520,Ship design,Ship design
9,Engineering & technology,H5,Naval architecture,H,Engineering,H521,Surface passenger ship design,Surface passenger ship design
9,Engineering & technology,H5,Naval architecture,H,Engineering,H522,Surface freight ship design,Surface freight ship design
9,Engineering & technology,H5,Naval architecture,H,Engineering,H523,Surface combat ship design,Surface combat ship design
9,Engineering & technology,H5,Naval architecture,H,Engineering,H524,Submarine design,Submarine design
9,Engineering & technology,H5,Naval architecture,H,Engineering,H590,Naval architecture not elsewhere classified,Naval architecture not elsewhere classified
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H600,Electronic & electrical engineering,Electronic & electrical engineering
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H610,Electronic engineering,Electronic engineering
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H611,Microelectronic engineering,Microelectronic engineering
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H612,Integrated circuit design,Integrated circuit design
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H620,Electrical engineering,Electrical engineering
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H630,Electrical power,Electrical power
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H631,Electrical power generation,Electrical power generation
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H632,Electrical power distribution,Electrical power distribution
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H640,Communications engineering,Communications engineering
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H641,Telecommunications engineering,Telecommunications engineering
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H642,Broadcast engineering,Broadcast engineering
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H643,Satellite engineering,Satellite engineering
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H644,Microwave engineering,Microwave engineering
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H650,Systems engineering,Systems engineering
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H651,Digital circuit engineering,Digital circuit engineering
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H652,Analogue circuit engineering,Analogue circuit engineering
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H660,Control systems,Control systems
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H661,Instrumentation control,Instrumentation control
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H662,Control by light systems,Control by light systems
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H670,Robotics & cybernetics,Robotics & cybernetics
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H671,Robotics,Robotics
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H672,Cybernetics,Cybernetics
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H674,Virtual reality engineering,Virtual reality engineering
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H680,Optoelectronic engineering,Optoelectronic engineering
9,Engineering & technology,H6,Electronic & electrical engineering,H,Engineering,H690,Electronic & electrical engineering not elsewhere classified,Electronic & electrical engineering not elsewhere classified
9,Engineering & technology,H7,Production & manufacturing engineering,H,Engineering,H700,Production & manufacturing engineering,Production & manufacturing engineering
9,Engineering & technology,H7,Production & manufacturing engineering,H,Engineering,H710,Manufacturing systems engineering,Manufacturing systems engineering
9,Engineering & technology,H7,Production & manufacturing engineering,H,Engineering,H711,Manufacturing systems design,Manufacturing systems design
9,Engineering & technology,H7,Production & manufacturing engineering,H,Engineering,H712,Manufacturing installation systems,Manufacturing installation systems
9,Engineering & technology,H7,Production & manufacturing engineering,H,Engineering,H713,Production processes,Production processes
9,Engineering & technology,H7,Production & manufacturing engineering,H,Engineering,H714,Manufacturing systems maintenance,Manufacturing systems maintenance
9,Engineering & technology,H7,Production & manufacturing engineering,H,Engineering,H720,Quality assurance engineering,Quality assurance engineering
9,Engineering & technology,H7,Production & manufacturing engineering,H,Engineering,H730,Mechatronics,Mechatronics
9,Engineering & technology,H7,Production & manufacturing engineering,H,Engineering,H790,Production & manufacturing engineering not elsewhere classified,Production & manufacturing engineering not elsewhere classified
9,Engineering & technology,H8,"Chemical, process & energy engineering",H,Engineering,H800,"Chemical, process & energy engineering","Chemical, process & energy engineering"
9,Engineering & technology,H8,"Chemical, process & energy engineering",H,Engineering,H810,Chemical engineering,Chemical engineering
9,Engineering & technology,H8,"Chemical, process & energy engineering",H,Engineering,H811,Biochemical engineering,Biochemical engineering
9,Engineering & technology,H8,"Chemical, process & energy engineering",H,Engineering,H812,Pharmaceutical engineering,Pharmaceutical engineering
9,Engineering & technology,H8,"Chemical, process & energy engineering",H,Engineering,H820,Atomic engineering,Atomic engineering
9,Engineering & technology,H8,"Chemical, process & energy engineering",H,Engineering,H821,Nuclear engineering,Nuclear engineering
9,Engineering & technology,H8,"Chemical, process & energy engineering",H,Engineering,H830,Chemical process engineering,Chemical process engineering
9,Engineering & technology,H8,"Chemical, process & energy engineering",H,Engineering,H831,Bioprocess engineering,Bioprocess engineering
9,Engineering & technology,H8,"Chemical, process & energy engineering",H,Engineering,H840,Gas engineering,Gas engineering
9,Engineering & technology,H8,"Chemical, process & energy engineering",H,Engineering,H850,Petroleum engineering,Petroleum engineering
9,Engineering & technology,H8,"Chemical, process & energy engineering",H,Engineering,H890,"Chemical, process & energy engineering not elsewhere classified","Chemical, process & energy engineering not elsewhere classified"
9,Engineering & technology,H9,Others in engineering,H,Engineering,H900,Others in engineering,Others in engineering
9,Engineering & technology,H9,Others in engineering,H,Engineering,H990,Engineering not elsewhere classified,Engineering not elsewhere classified
8,Computer science,I1,Computer science,I,Computer Sciences,I100,Computer science,Computer science
8,Computer science,I1,Computer science,I,Computer Sciences,I110,Computer architectures & operating systems,Computer architectures & operating systems
8,Computer science,I1,Computer science,I,Computer Sciences,I111,Computer architectures,Computer architectures
8,Computer science,I1,Computer science,I,Computer Sciences,I112,Operating systems,Operating systems
8,Computer science,I1,Computer science,I,Computer Sciences,I113,Displays & imaging,Displays & imaging
8,Computer science,I1,Computer science,I,Computer Sciences,I114,High end computing,High end computing
8,Computer science,I1,Computer science,I,Computer Sciences,I115,Parallel computing,Parallel computing
8,Computer science,I1,Computer science,I,Computer Sciences,I120,Networks & communications,Networks & communications
8,Computer science,I1,Computer science,I,Computer Sciences,I130,Computational science foundations,Computational science foundations
8,Computer science,I1,Computer science,I,Computer Sciences,I140,Human-computer interaction,Human-computer interaction
8,Computer science,I1,Computer science,I,Computer Sciences,I150,Multimedia computing science,Multimedia computing science
8,Computer science,I1,Computer science,I,Computer Sciences,I160,Internet,Internet
8,Computer science,I1,Computer science,I,Computer Sciences,I161,e-business,e-business
8,Computer science,I1,Computer science,I,Computer Sciences,I190,Computer science not elsewhere classified,Computer science not elsewhere classified
8,Computer science,I2,Information systems,I,Computer Sciences,I200,Information systems,Information systems
8,Computer science,I2,Information systems,I,Computer Sciences,I210,Information modelling,Information modelling
8,Computer science,I2,Information systems,I,Computer Sciences,I220,Systems design methodologies,Systems design methodologies
8,Computer science,I2,Information systems,I,Computer Sciences,I230,Systems analysis & design,Systems analysis & design
8,Computer science,I2,Information systems,I,Computer Sciences,I240,Databases,Databases
8,Computer science,I2,Information systems,I,Computer Sciences,I250,Systems auditing,Systems auditing
8,Computer science,I2,Information systems,I,Computer Sciences,I260,Data management,Data management
8,Computer science,I2,Information systems,I,Computer Sciences,I270,Intelligent & expert systems,Intelligent & expert systems
8,Computer science,I2,Information systems,I,Computer Sciences,I290,Systems analysis & design not elsewhere classified,Systems analysis & design not elsewhere classified
8,Computer science,I3,Software engineering,I,Computer Sciences,I300,Software engineering,Software engineering
8,Computer science,I3,Software engineering,I,Computer Sciences,I310,Software design,Software design
8,Computer science,I3,Software engineering,I,Computer Sciences,I320,Programming,Programming
8,Computer science,I3,Software engineering,I,Computer Sciences,I321,Procedural programming,Procedural programming
8,Computer science,I3,Software engineering,I,Computer Sciences,I322,Object-oriented programming,Object-oriented programming
8,Computer science,I3,Software engineering,I,Computer Sciences,I323,Declarative programming,Declarative programming
8,Computer science,I3,Software engineering,I,Computer Sciences,I390,Software engineering not elsewhere classified,Software engineering not elsewhere classified
8,Computer science,I4,Artificial intelligence,I,Computer Sciences,I400,Artificial intelligence,Artificial intelligence
8,Computer science,I4,Artificial intelligence,I,Computer Sciences,I410,Speech & natural language processing,Speech & natural language processing
8,Computer science,I4,Artificial intelligence,I,Computer Sciences,I420,Knowledge representation,Knowledge representation
8,Computer science,I4,Artificial intelligence,I,Computer Sciences,I430,Neural computing,Neural computing
8,Computer science,I4,Artificial intelligence,I,Computer Sciences,I440,Computer vision,Computer vision
8,Computer science,I4,Artificial intelligence,I,Computer Sciences,I450,Cognitive modelling,Cognitive modelling
8,Computer science,I4,Artificial intelligence,I,Computer Sciences,I460,Machine learning,Machine learning
8,Computer science,I4,Artificial intelligence,I,Computer Sciences,I461,Automated reasoning,Automated reasoning
8,Computer science,I4,Artificial intelligence,I,Computer Sciences,I490,Artificial intelligence not elsewhere classified,Artificial intelligence not elsewhere classified
8,Computer science,I5,Health informatics,I,Computer Sciences,I500,Health informatics,Health informatics
8,Computer science,I5,Health informatics,I,Computer Sciences,I510,Health technologies,Health technologies
8,Computer science,I5,Health informatics,I,Computer Sciences,I520,Bioinformatics,Bioinformatics
8,Computer science,I5,Health informatics,I,Computer Sciences,I530,Tele healthcare,Tele healthcare
8,Computer science,I5,Health informatics,I,Computer Sciences,I590,Health informatics not elsewhere classified,Health informatics not elsewhere classified
8,Computer science,I6,Games,I,Computer Sciences,I600,Games,Games
8,Computer science,I6,Games,I,Computer Sciences,I610,Computer games programming,Computer games programming
8,Computer science,I6,Games,I,Computer Sciences,I620,Computer games design,Computer games design
8,Computer science,I6,Games,I,Computer Sciences,I630,Computer games graphics,Computer games graphics
8,Computer science,I7,Computer generated visual & audio effects,I,Computer Sciences,I700,Computer generated visual & audio effects,Computer generated visual & audio effects
8,Computer science,I7,Computer generated visual & audio effects,I,Computer Sciences,I710,Computer generated imagery,Computer generated imagery
8,Computer science,I9,Others in Computer sciences,I,Computer Sciences,I900,Others in Computer sciences,Others in Computer sciences
8,Computer science,I9,Others in Computer sciences,I,Computer Sciences,I990,Computer sciences not elsewhere classified,Computer sciences not elsewhere classified
9,Engineering & technology,H0,Broadly-based programmes within engineering & technology,J,Technologies,J000,Technologies,Technologies
9,Engineering & technology,J1,Minerals technology,J,Technologies,J100,Minerals technology,Minerals technology
9,Engineering & technology,J1,Minerals technology,J,Technologies,J110,Mining,Mining
9,Engineering & technology,J1,Minerals technology,J,Technologies,J120,Quarrying,Quarrying
9,Engineering & technology,J1,Minerals technology,J,Technologies,J130,Rock mechanics,Rock mechanics
9,Engineering & technology,J1,Minerals technology,J,Technologies,J140,Minerals processing,Minerals processing
9,Engineering & technology,J1,Minerals technology,J,Technologies,J150,Minerals surveying,Minerals surveying
9,Engineering & technology,J1,Minerals technology,J,Technologies,J160,Petrochemical technology,Petrochemical technology
9,Engineering & technology,J1,Minerals technology,J,Technologies,J190,Minerals technology not elsewhere classified,Minerals technology not elsewhere classified
9,Engineering & technology,J2,Metallurgy,J,Technologies,J200,Metallurgy,Metallurgy
9,Engineering & technology,J2,Metallurgy,J,Technologies,J210,Applied metallurgy,Applied metallurgy
9,Engineering & technology,J2,Metallurgy,J,Technologies,J220,Metallic fabrication,Metallic fabrication
9,Engineering & technology,J2,Metallurgy,J,Technologies,J221,Pattern making,Pattern making
9,Engineering & technology,J2,Metallurgy,J,Technologies,J230,Corrosion technology,Corrosion technology
